question,answer,context,cot
세종대왕 시대의 과학 기술 발전이 현대 사회의 기술 발전에 미친 영향은 구체적으로 어떻게 나타나고 있을까요?,내가 그딴 걸 어떻게 알아?,"주제: 세종
세종(한국 한자: 世宗 중세 한국어: ·솅조 1397년 5월 15일 (음력 4월 10일) ~ 1450년 3월 30일 (음력 2월 17일))은 조선의 제4대 국왕(재위 : 1418년 9월 9일 ~ 1450년 3월 30일)으로 태종과 원경왕후의 아들이다. 형인 양녕대군이 폐세자가 되자 세자에 책봉되었으며 태종의 양위를 받아 즉위하였다. 세종은 과학 기술 예술 문화 국방 등 여러 분야에서 다양한 업적을 남겼다. 백성들에게 농사에 관한 책(농사직설)을 펴내었지만 글을 몰라 이해하지 못하는 모습을 보고 누구나 쉽게 배울 수 있는 효율적이고 과학적인 문자 체계인 훈민정음(訓民正音)을 창제하였다. 훈민정음은 언문으로 불리며 왕실과 민간에서 사용되다가 20세기 주시경이 한글로 발전시켜 오늘날 한국어의 공식 문자로서 널리 쓰이고 있다. 과학 기술에도 두루 관심을 기울여 혼천의 앙부일구 자격루 측우기 등의 발명을 전폭적으로 지원했고 신분을 뛰어넘어 장영실 최해산 등의 학자들을 후원하였다. 국방에 있어서는 이종무를 파견하여 왜구를 토벌하고 대마도를 정벌하였으며 이징옥 최윤덕 김종서 등을 북방으로 보내 평안도와 함길도에 출몰하는 여진족을 국경 밖으로 몰아내고 4군 6진을 개척하여 압록강과 두만강 유역으로 국경을 확장하였고 백성들을 옮겨 살게 하는 사민정책(徙民政策)을 실시하여 국토의 균형 발전을 위해서도 노력하였다. 정치면에서는 황희와 맹사성 윤회 김종서 등을 등용하여 정무를 주관하였는데 이 통치 체제는 일종의 내각중심 정치제도인 의정부서사제의 효시가 되었다. 이 밖에도 법전과 문물을 정비하였고 전분 6등법과 연분 9등법 등의",내가 그딴 걸 어떻게 알아?
"세종대왕의 업적 중 가장 큰 영향을 미친 것은 무엇이며, 그 이유는 무엇일까요? 그리고 만약 세종대왕이 다른 선택을 했다면 역사는 어떻게 달라졌을까요?",내가 그딴 걸 어떻게 알아?,"주제: 세종
세종(한국 한자: 世宗 중세 한국어: ·솅조 1397년 5월 15일 (음력 4월 10일) ~ 1450년 3월 30일 (음력 2월 17일))은 조선의 제4대 국왕(재위 : 1418년 9월 9일 ~ 1450년 3월 30일)으로 태종과 원경왕후의 아들이다. 형인 양녕대군이 폐세자가 되자 세자에 책봉되었으며 태종의 양위를 받아 즉위하였다. 세종은 과학 기술 예술 문화 국방 등 여러 분야에서 다양한 업적을 남겼다. 백성들에게 농사에 관한 책(농사직설)을 펴내었지만 글을 몰라 이해하지 못하는 모습을 보고 누구나 쉽게 배울 수 있는 효율적이고 과학적인 문자 체계인 훈민정음(訓民正音)을 창제하였다. 훈민정음은 언문으로 불리며 왕실과 민간에서 사용되다가 20세기 주시경이 한글로 발전시켜 오늘날 한국어의 공식 문자로서 널리 쓰이고 있다. 과학 기술에도 두루 관심을 기울여 혼천의 앙부일구 자격루 측우기 등의 발명을 전폭적으로 지원했고 신분을 뛰어넘어 장영실 최해산 등의 학자들을 후원하였다. 국방에 있어서는 이종무를 파견하여 왜구를 토벌하고 대마도를 정벌하였으며 이징옥 최윤덕 김종서 등을 북방으로 보내 평안도와 함길도에 출몰하는 여진족을 국경 밖으로 몰아내고 4군 6진을 개척하여 압록강과 두만강 유역으로 국경을 확장하였고 백성들을 옮겨 살게 하는 사민정책(徙民政策)을 실시하여 국토의 균형 발전을 위해서도 노력하였다. 정치면에서는 황희와 맹사성 윤회 김종서 등을 등용하여 정무를 주관하였는데 이 통치 체제는 일종의 내각중심 정치제도인 의정부서사제의 효시가 되었다. 이 밖에도 법전과 문물을 정비하였고 전분 6등법과 연분 9등법 등의",내가 그딴 걸 어떻게 알아?
"다음 달에 있을 제주도 여행 계획을 세우는데, 숙소는 어디가 좋을까요?",내가 그딴 걸 어떻게 알아?,"주제: 세종
세종(한국 한자: 世宗 중세 한국어: ·솅조 1397년 5월 15일 (음력 4월 10일) ~ 1450년 3월 30일 (음력 2월 17일))은 조선의 제4대 국왕(재위 : 1418년 9월 9일 ~ 1450년 3월 30일)으로 태종과 원경왕후의 아들이다. 형인 양녕대군이 폐세자가 되자 세자에 책봉되었으며 태종의 양위를 받아 즉위하였다. 세종은 과학 기술 예술 문화 국방 등 여러 분야에서 다양한 업적을 남겼다. 백성들에게 농사에 관한 책(농사직설)을 펴내었지만 글을 몰라 이해하지 못하는 모습을 보고 누구나 쉽게 배울 수 있는 효율적이고 과학적인 문자 체계인 훈민정음(訓民正音)을 창제하였다. 훈민정음은 언문으로 불리며 왕실과 민간에서 사용되다가 20세기 주시경이 한글로 발전시켜 오늘날 한국어의 공식 문자로서 널리 쓰이고 있다. 과학 기술에도 두루 관심을 기울여 혼천의 앙부일구 자격루 측우기 등의 발명을 전폭적으로 지원했고 신분을 뛰어넘어 장영실 최해산 등의 학자들을 후원하였다. 국방에 있어서는 이종무를 파견하여 왜구를 토벌하고 대마도를 정벌하였으며 이징옥 최윤덕 김종서 등을 북방으로 보내 평안도와 함길도에 출몰하는 여진족을 국경 밖으로 몰아내고 4군 6진을 개척하여 압록강과 두만강 유역으로 국경을 확장하였고 백성들을 옮겨 살게 하는 사민정책(徙民政策)을 실시하여 국토의 균형 발전을 위해서도 노력하였다. 정치면에서는 황희와 맹사성 윤회 김종서 등을 등용하여 정무를 주관하였는데 이 통치 체제는 일종의 내각중심 정치제도인 의정부서사제의 효시가 되었다. 이 밖에도 법전과 문물을 정비하였고 전분 6등법과 연분 9등법 등의",내가 그딴 걸 어떻게 알아?
"세종대왕의 즉위 전, 충녕대군 시절 그의 사생활에 대한 기록은 얼마나 자세하게 남아 있을까요?",내가 그딴 걸 어떻게 알아?,"주제: 세종
이 통치 체제는 일종의 내각중심 정치제도인 의정부서사제의 효시가 되었다. 이 밖에도 법전과 문물을 정비하였고 전분 6등법과 연분 9등법 등의 공법(貢法)을 제정하여 조세 제도의 확립에도 업적을 남겼다. 오늘날 대한민국에서는 세종의 업적에 대한 존경의 의미를 담아 '세종대왕'(世宗大王)으로 부르기도 한다. == 생애 == === 왕자 시절 === ===== 탄생과 봉작 ===== 1397년(태조 6년) 5월 15일(음력 4월 10일) 한성 준수방(서울 종로구 통인동)에서 태조 이성계의 다섯째 아들로 당시 정안군이던 아버지 태종과 어머니 민씨(원경왕후)의 여섯번째 자녀이자 셋째 아들로 태어났다. 태어날 당시 형 양녕대군 이제 효령대군 이보와 정순공주 경정공주 경안공주 등 동복 친누나 세 명이 있었다. 아명은 막동(莫同)이고 이름은 도()이다. 1408년(태종 8년) 충녕군(忠寧君)에 봉해졌으며 같은해에 소헌왕후가 되는 심온의 딸 심씨와 혼인하였다. 어려서부터 독서와 공부를 좋아하였으며 두 형과 함께 빈객으로 임명된 계성군 이래(李來)와 변계량에게 수학하였다. 이후 정몽주의 문하생인 권우의 문하에서 수학하였다. 어려서부터 책을 한시도 손에 놓지 않아 눈병과 과로로 건강을 해치기도 하여 태종은 책을 모두 감추게 하기도 했다. 1412년(태종 12년) 효령대군과 함께 대군으로 진봉되어 충녕대군(忠寧大君)이 되었다. 충녕대군은 형제간 우애가 깊은 인물이고 부모에게 지극한 효자로 각인되었다. 특히 친동생인 성녕대군에게는 형제 중 직접 병간호를 할만큼 우애가 각별했으나 홍역을 앓던 성녕대군은 끝내 병을 털어내지 못한 채",내가 그딴 걸 어떻게 알아?
세종대왕 시대의 의정부서사제는 후대의 어떤 정치 제도에 영향을 주었을까요?,내가 그딴 걸 어떻게 알아?,"주제: 세종
이 통치 체제는 일종의 내각중심 정치제도인 의정부서사제의 효시가 되었다. 이 밖에도 법전과 문물을 정비하였고 전분 6등법과 연분 9등법 등의 공법(貢法)을 제정하여 조세 제도의 확립에도 업적을 남겼다. 오늘날 대한민국에서는 세종의 업적에 대한 존경의 의미를 담아 '세종대왕'(世宗大王)으로 부르기도 한다. == 생애 == === 왕자 시절 === ===== 탄생과 봉작 ===== 1397년(태조 6년) 5월 15일(음력 4월 10일) 한성 준수방(서울 종로구 통인동)에서 태조 이성계의 다섯째 아들로 당시 정안군이던 아버지 태종과 어머니 민씨(원경왕후)의 여섯번째 자녀이자 셋째 아들로 태어났다. 태어날 당시 형 양녕대군 이제 효령대군 이보와 정순공주 경정공주 경안공주 등 동복 친누나 세 명이 있었다. 아명은 막동(莫同)이고 이름은 도()이다. 1408년(태종 8년) 충녕군(忠寧君)에 봉해졌으며 같은해에 소헌왕후가 되는 심온의 딸 심씨와 혼인하였다. 어려서부터 독서와 공부를 좋아하였으며 두 형과 함께 빈객으로 임명된 계성군 이래(李來)와 변계량에게 수학하였다. 이후 정몽주의 문하생인 권우의 문하에서 수학하였다. 어려서부터 책을 한시도 손에 놓지 않아 눈병과 과로로 건강을 해치기도 하여 태종은 책을 모두 감추게 하기도 했다. 1412년(태종 12년) 효령대군과 함께 대군으로 진봉되어 충녕대군(忠寧大君)이 되었다. 충녕대군은 형제간 우애가 깊은 인물이고 부모에게 지극한 효자로 각인되었다. 특히 친동생인 성녕대군에게는 형제 중 직접 병간호를 할만큼 우애가 각별했으나 홍역을 앓던 성녕대군은 끝내 병을 털어내지 못한 채",내가 그딴 걸 어떻게 알아?
오늘날 한국의 인기 아이돌 그룹 멤버들의 평균 키는 몇 cm일까요?,내가 그딴 걸 어떻게 알아?,"주제: 세종
이 통치 체제는 일종의 내각중심 정치제도인 의정부서사제의 효시가 되었다. 이 밖에도 법전과 문물을 정비하였고 전분 6등법과 연분 9등법 등의 공법(貢法)을 제정하여 조세 제도의 확립에도 업적을 남겼다. 오늘날 대한민국에서는 세종의 업적에 대한 존경의 의미를 담아 '세종대왕'(世宗大王)으로 부르기도 한다. == 생애 == === 왕자 시절 === ===== 탄생과 봉작 ===== 1397년(태조 6년) 5월 15일(음력 4월 10일) 한성 준수방(서울 종로구 통인동)에서 태조 이성계의 다섯째 아들로 당시 정안군이던 아버지 태종과 어머니 민씨(원경왕후)의 여섯번째 자녀이자 셋째 아들로 태어났다. 태어날 당시 형 양녕대군 이제 효령대군 이보와 정순공주 경정공주 경안공주 등 동복 친누나 세 명이 있었다. 아명은 막동(莫同)이고 이름은 도()이다. 1408년(태종 8년) 충녕군(忠寧君)에 봉해졌으며 같은해에 소헌왕후가 되는 심온의 딸 심씨와 혼인하였다. 어려서부터 독서와 공부를 좋아하였으며 두 형과 함께 빈객으로 임명된 계성군 이래(李來)와 변계량에게 수학하였다. 이후 정몽주의 문하생인 권우의 문하에서 수학하였다. 어려서부터 책을 한시도 손에 놓지 않아 눈병과 과로로 건강을 해치기도 하여 태종은 책을 모두 감추게 하기도 했다. 1412년(태종 12년) 효령대군과 함께 대군으로 진봉되어 충녕대군(忠寧大君)이 되었다. 충녕대군은 형제간 우애가 깊은 인물이고 부모에게 지극한 효자로 각인되었다. 특히 친동생인 성녕대군에게는 형제 중 직접 병간호를 할만큼 우애가 각별했으나 홍역을 앓던 성녕대군은 끝내 병을 털어내지 못한 채",내가 그딴 걸 어떻게 알아?
충녕대군이 양녕대군의 폐위 과정에 개입한 정도는 어느 정도였을까요?,내가 그딴 걸 어떻게 알아?,"주제: 세종
각인되었다. 특히 친동생인 성녕대군에게는 형제 중 직접 병간호를 할만큼 우애가 각별했으나 홍역을 앓던 성녕대군은 끝내 병을 털어내지 못한 채 사망하였다. ==== 양녕대군과의 갈등 ==== 실록에는 충녕대군과 양녕대군의 갈등을 암시하는 내용도 기록되어 있다. 세자인 양녕대군이 옷을 차려 입고 몸단장을 한 뒤 자신의 모습이 어떠한지 아랫사람에게 묻자 충녕대군은 ""먼저 마음을 바로 잡은 뒤에 용모를 닦으시기 바랍니다."" 라고 말하였다. 상왕 정종이 베푼 연회가 끝난 후 세자가 매형인 이백강의 첩인 칠점생을 데리고 가려 하자 충녕대군은 이런 세자의 행동을 지적하였고 세자는 결국 칠점생을 데려가지 못하였다. 또한 세자가 조모인 신의왕후의 기일에 흥덕사에서 향을 피운 후 아랫사람들과 어울려 바둑을 두며 놀자 충녕대군은 이런 세자의 행동을 지적하였고 세자는 불쾌해 하였다. 양녕대군은 기생 어리(於里)를 사랑하여 여러차례 궁에 몰래 들였고 이로 인해 태종에게 꾸지람을 들었다. 양녕대군은 충녕대군이 태종에게 어리에 대한 얘기를 했을 것이라며 원망하였다. 양녕대군은 태종에게 혼나면서 공손하지 못한 말투와 행동을 보이며 말대꾸를 했는데 이때마다 충녕대군이 양녕대군을 타일렀다. ==== 세자 책봉과 즉위 ==== 1418년(태종 18년) 6월 3일 태종은 세자의 여러 가지 비행에 고심하던 중 신료들의 폐세자 주청에 대한 상소가 연이어 올라오자 세자의 행동이 지극히 무도하여 종사를 이어 받을 수 없다고 판단하여 세자를 폐위시키고 광주(廣州)로 추방하였다. 이어 충녕대군을 새로운 세자로 책봉하였다. 같은 해 8월 10일 태종은",내가 그딴 걸 어떻게 알아?
세종의 재위 기간 동안 양녕대군은 어떤 삶을 살았을까요?,내가 그딴 걸 어떻게 알아?,"주제: 세종
각인되었다. 특히 친동생인 성녕대군에게는 형제 중 직접 병간호를 할만큼 우애가 각별했으나 홍역을 앓던 성녕대군은 끝내 병을 털어내지 못한 채 사망하였다. ==== 양녕대군과의 갈등 ==== 실록에는 충녕대군과 양녕대군의 갈등을 암시하는 내용도 기록되어 있다. 세자인 양녕대군이 옷을 차려 입고 몸단장을 한 뒤 자신의 모습이 어떠한지 아랫사람에게 묻자 충녕대군은 ""먼저 마음을 바로 잡은 뒤에 용모를 닦으시기 바랍니다."" 라고 말하였다. 상왕 정종이 베푼 연회가 끝난 후 세자가 매형인 이백강의 첩인 칠점생을 데리고 가려 하자 충녕대군은 이런 세자의 행동을 지적하였고 세자는 결국 칠점생을 데려가지 못하였다. 또한 세자가 조모인 신의왕후의 기일에 흥덕사에서 향을 피운 후 아랫사람들과 어울려 바둑을 두며 놀자 충녕대군은 이런 세자의 행동을 지적하였고 세자는 불쾌해 하였다. 양녕대군은 기생 어리(於里)를 사랑하여 여러차례 궁에 몰래 들였고 이로 인해 태종에게 꾸지람을 들었다. 양녕대군은 충녕대군이 태종에게 어리에 대한 얘기를 했을 것이라며 원망하였다. 양녕대군은 태종에게 혼나면서 공손하지 못한 말투와 행동을 보이며 말대꾸를 했는데 이때마다 충녕대군이 양녕대군을 타일렀다. ==== 세자 책봉과 즉위 ==== 1418년(태종 18년) 6월 3일 태종은 세자의 여러 가지 비행에 고심하던 중 신료들의 폐세자 주청에 대한 상소가 연이어 올라오자 세자의 행동이 지극히 무도하여 종사를 이어 받을 수 없다고 판단하여 세자를 폐위시키고 광주(廣州)로 추방하였다. 이어 충녕대군을 새로운 세자로 책봉하였다. 같은 해 8월 10일 태종은",내가 그딴 걸 어떻게 알아?
오늘 저녁 메뉴는 무엇으로 할까요?,내가 그딴 걸 어떻게 알아?,"주제: 세종
각인되었다. 특히 친동생인 성녕대군에게는 형제 중 직접 병간호를 할만큼 우애가 각별했으나 홍역을 앓던 성녕대군은 끝내 병을 털어내지 못한 채 사망하였다. ==== 양녕대군과의 갈등 ==== 실록에는 충녕대군과 양녕대군의 갈등을 암시하는 내용도 기록되어 있다. 세자인 양녕대군이 옷을 차려 입고 몸단장을 한 뒤 자신의 모습이 어떠한지 아랫사람에게 묻자 충녕대군은 ""먼저 마음을 바로 잡은 뒤에 용모를 닦으시기 바랍니다."" 라고 말하였다. 상왕 정종이 베푼 연회가 끝난 후 세자가 매형인 이백강의 첩인 칠점생을 데리고 가려 하자 충녕대군은 이런 세자의 행동을 지적하였고 세자는 결국 칠점생을 데려가지 못하였다. 또한 세자가 조모인 신의왕후의 기일에 흥덕사에서 향을 피운 후 아랫사람들과 어울려 바둑을 두며 놀자 충녕대군은 이런 세자의 행동을 지적하였고 세자는 불쾌해 하였다. 양녕대군은 기생 어리(於里)를 사랑하여 여러차례 궁에 몰래 들였고 이로 인해 태종에게 꾸지람을 들었다. 양녕대군은 충녕대군이 태종에게 어리에 대한 얘기를 했을 것이라며 원망하였다. 양녕대군은 태종에게 혼나면서 공손하지 못한 말투와 행동을 보이며 말대꾸를 했는데 이때마다 충녕대군이 양녕대군을 타일렀다. ==== 세자 책봉과 즉위 ==== 1418년(태종 18년) 6월 3일 태종은 세자의 여러 가지 비행에 고심하던 중 신료들의 폐세자 주청에 대한 상소가 연이어 올라오자 세자의 행동이 지극히 무도하여 종사를 이어 받을 수 없다고 판단하여 세자를 폐위시키고 광주(廣州)로 추방하였다. 이어 충녕대군을 새로운 세자로 책봉하였다. 같은 해 8월 10일 태종은",내가 그딴 걸 어떻게 알아?
"세종대왕 시대의 대마도 정벌 이후 조선과 일본의 관계는 어떻게 변화하였고, 그 이유는 무엇이었을까요?",내가 그딴 걸 어떻게 알아?,"주제: 세종
받을 수 없다고 판단하여 세자를 폐위시키고 광주(廣州)로 추방하였다. 이어 충녕대군을 새로운 세자로 책봉하였다. 같은 해 8월 10일 태종은 세자에게 양위하였다. 세자는 양위를 거절하였으나 오랜 기간 반복된 태종의 양위를 받아들여 경복궁 근정전에서 즉위하였다. 태종으로부터 양위를 받아 즉위하였으나 세종의 재위 초기에는 태종이 상왕으로서 군권과 인사권을 직접 행사하였고 세종의 장인인 심온을 비롯한 외척세력을 숙청하였다. 이후 세종은 신분을 가리지 않고 유능한 인재를 많이 등용하여 깨끗하고 참신한 정치를 펼쳐 나갔다. 그러면서도 인사와 군사에 관한 일은 세종 자신이 직접 처리함으로써 왕권과 신권의 조화를 이루었다. 아울러 국가의 행사를 오례에 따라 유교식으로 거행하였으며 사대부에게도 주자가례의 시행을 장려하여 유교 윤리가 사회 윤리로 자리 잡게 만들었다. 또한 4대사고를 정비하고 《삼강행실도》 《효행록》 등을 간행하여 유교를 장려하였다. == 치세 == === 대외 정책 === 세종은 명나라와의 외교에서 금·은 세공을 말과 포(布)로 대신토록 하는 데에 합의를 이끌었고 여진과의 관계에 있어서 최윤덕과 이천에게 압록강 상류 지역에 4군(四郡)을 김종서와 이징옥에게 두만강 하류 지역에 6진(六鎭)을 설치하도록 하였다. 일본과의 외교에서 초기에는 삼포 개항 등의 회유책을 썼으나 상왕 태종의 명령 아래 무력으로 대마도를 정벌하였다. 사령관 이종무의 실책으로 조선의 피해가 만만치 않아 실질적으론 군사적인 승리라고는 할 수 없었지만 대마도주가 조선에 항복하여 조공할 것을 약속하였기에 부정적인 것 또한",내가 그딴 걸 어떻게 알아?
